ID,NAME,latitude
411,E 6 St & Avenue D,40.72228087
412,Forsyth St & Canal St,40.7158155
415,Pearl St & Hanover Square,40.7047177
416,Cumberland St & Lafayette Ave,40.68753406
417,Barclay St & Church St,40.71291224
418,Front St & Gold St,40.70224
419,Carlton Ave & Park Ave,40.69580705
420,Clermont Ave & Lafayette Ave,40.68764484
421,Clermont Ave & Park Ave,40.69573398
422,W 59 St & 10 Ave,40.770513
423,W 54 St & 9 Ave,40.76584941
426,West St & Chambers St,40.71754834
427,Bus Slip & State St,40.701907
432,E 7 St & Avenue A,40.72621788
434,9 Ave & W 18 St,40.74317449
435,W 21 St & 6 Ave,40.74173969
436,Hancock St & Bedford Ave,40.68216564
437,Macon St & Nostrand Ave,40.6809833854
438,St Marks Pl & 1 Ave,40.72779126
439,E 4 St & 2 Ave,40.7262807
440,E 45 St & 3 Ave,40.75255434
442,W 27 St & 7 Ave,40.746647
443,Bedford Ave & S 9 St,40.70853074
445,E 10 St & Avenue A,40.72740794
446,W 24 St & 7 Ave,40.74487634
447,8 Ave & W 52 St,40.76370739
448,W 37 St & 10 Ave,40.75660359
450,W 49 St & 8 Ave,40.76227205
453,W 22 St & 8 Ave,40.74475148
454,E 51 St & 1 Ave,40.75455731
455,1 Ave & E 44 St,40.75001986
456,E 53 St & Madison Ave,40.7597108
458,11 Ave & W 27 St,40.751396
459,W 20 St & 11 Ave,40.746745
460,S 4 St & Wythe Ave,40.71285887
461,E 20 St & 2 Ave,40.73587678
462,W 22 St & 10 Ave,40.74691959
464,E 56 St & 3 Ave,40.75934501
465,Broadway & W 41 St,40.75513557
466,W 25 St & 6 Ave,40.74395411
467,Dean St & 4 Ave,40.68312489
468,Broadway & W 56 St,40.7652654
469,Broadway & W 53 St,40.76344058
470,W 20 St & 8 Ave,40.74345335
471,Grand St & Havemeyer St,40.71286844
472,E 32 St & Park Ave,40.7457121
473,Rivington St & Chrystie St,40.72110063
474,5 Ave & E 29 St,40.7451677
476,E 31 St & 3 Ave,40.74394314
477,W 41 St & 8 Ave,40.75640548
478,11 Ave & W 41 St,40.76030096
479,9 Ave & W 45 St,40.76019252
480,W 53 St & 10 Ave,40.76669671
481,S 3 St & Bedford Ave,40.71260486
482,W 15 St & 7 Ave,40.73935542
483,E 12 St & 3 Ave,40.73223272
484,W 44 St & 5 Ave,40.75500254
485,W 37 St & 5 Ave,40.75038009
486,Broadway & W 29 St,40.7462009
487,E 20 St & FDR Drive,40.73314259
489,10 Ave & W 28 St,40.75066386
490,8 Ave & W 33 St,40.751551
491,E 24 St & Park Ave S,40.74096374
492,W 33 St & 7 Ave,40.75019995
493,W 45 St & 6 Ave,40.7568001
494,W 26 St & 8 Ave,40.74734825
495,W 47 St & 10 Ave,40.76269882
496,E 16 St & 5 Ave,40.73726186
497,E 17 St & Broadway,40.73704984
499,Broadway & W 60 St,40.76915505
500,Broadway & W 51 St,40.76228826
501,FDR Drive & E 35 St,40.744219
502,Henry St & Grand St,40.714211
503,E 20 St & Park Ave,40.73827428
504,1 Ave & E 16 St,40.73221853
505,6 Ave & W 33 St,40.74901271
507,E 25 St & 2 Ave,40.73912601
508,W 46 St & 11 Ave,40.76341379
509,9 Ave & W 22 St,40.7454973
513,W 56 St & 10 Ave,40.768254
514,12 Ave & W 40 St,40.76087502
515,W 43 St & 10 Ave,40.76009437
516,E 47 St & 1 Ave,40.75206862
517,Pershing Square South,40.751581
518,E 39 St & 2 Ave,40.74780373
519,Pershing Square North,40.751873
520,W 52 St & 5 Ave,40.75992262
522,E 51 St & Lexington Ave,40.75714758
523,W 38 St & 8 Ave,40.75466591
525,W 34 St & 11 Ave,40.75594159
526,E 33 St & 5 Ave,40.74765947
528,2 Ave & E 31 St,40.74290902
529,W 42 St & 8 Ave,40.7575699
530,11 Ave & W 59 St,40.77149671054441
531,Forsyth St & Broome St,40.71893904
532,S 5 Pl & S 5 St,40.710451
533,Broadway & W 38 St,40.75299641
534,Water - Whitehall Plaza,40.70255065
536,1 Ave & E 30 St,40.74144387
539,Metropolitan Ave & Bedford Ave,40.71534825
540,Lexington Ave & E 29 St,40.74311555376486
545,E 23 St & 1 Ave,40.736502
546,E 30 St & Park Ave S,40.74444921
2000,Front St & Washington St,40.70255088
2002,Wythe Ave & Metropolitan Ave,40.716887
2003,1 Ave & E 18 St,40.733812191966315
2005,Railroad Ave & Kay Ave,40.70531194
2006,Central Park S & 6 Ave,40.76590936
2008,Little West St & 1 Pl,40.70569254
2009,Catherine St & Monroe St,40.71117444
2010,Grand St & Greene St,40.72170005235607
2012,E 27 St & 1 Ave,40.739445
2017,E 43 St & 2 Ave,40.75022392
2021,W 45 St & 8 Ave,40.75929124
2022,E 60 St & York Ave,40.759107
3016,Kent Ave & N 7 St,40.72036775298455
3041,Kingston Ave & Herkimer St,40.67890679
3042,Fulton St & Utica Ave,40.6794268
3043,Lewis Ave & Decatur St,40.6814598
3044,Albany Ave & Fulton St,40.6800105
3046,Marcus Garvey Blvd & Macon St,40.682601
3047,Halsey St & Tompkins Ave,40.6823687
3048,Putnam Ave & Nostrand Ave,40.68402
